image_path,plate_text
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2371.jpg,UP32RN5761
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2466.jpg,JH05CM3124
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2286.png,MH04FF8714
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2492.jpg,UP64W4388
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1955.png,MH047328
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1801.jpg,MH04DR5018
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2378.jpg,CH04E3760
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2534.png,MH04GE5052
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2358.jpg,UP14BN4001
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1829.jpg,AP26AD199
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2706.jpg,KL48E172
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1953.png,MH04BD7328
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2280.png,MH04VX7245
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2709.jpg,TS08JE900
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2548.png,AP23AE4446
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2623.png,MH31DV2896
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1871.png,WB22U6847
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2622.png,TN23AM1200
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2538.png,MH01AH1080
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1760.jpg,DL7CN3006
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2439.jpg,PB91K5538
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2607.png,MH04EF1070
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2504.jpg,TN38BY4191
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2403.jpg,AP26AX3493
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2244.png,MH05AX0193
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1950.png,TN05AL1191
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2297.png,MH04DB6948
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2532.png,DL4CAV4880
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2603.png,MH04CZ2827
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1954.png,MH04BD7328
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2465.jpg,JH05BG9619
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1815.jpg,AP04Q4949
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2611.png,WB20H2215
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2385.jpg,MH20EE7602
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2529.png,DL3CBM6489
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2648.png,MH01AV7318
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2308.png,AP10AQ1539
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2289.png,AP09BU5816
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1891.png,MP09BC0367
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1744.jpg,AP10AK5807
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1852.png,MH12ET6622
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2479.jpg,MH20BN3525
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1827.jpg,MH12EM5804
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2631.png,MH09BZ6100
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2416.jpg,GJ07DA9988
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2721.jpg,KL04AM165
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2686.jpg,HR26DQ5551
