epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5569,1.15155,2.69714,1.13298,1,0.0181,0.29191,0.19601,1.08483,3.50687,1.06492,0.000653595,0.000653595,0.000653595
2,19.446,1.20764,1.84593,1.1167,0.37189,0.32966,0.20949,0.12304,1.2459,2.89148,1.12971,0.00127669,0.00127669,0.00127669
3,28.1573,1.26898,1.67998,1.15768,0.74063,0.47253,0.55971,0.36766,1.32689,2.84228,1.25591,0.00185579,0.00185579,0.00185579
4,38.0076,1.22304,1.49333,1.15535,0.71763,0.54925,0.60108,0.36965,1.34483,1.69956,1.23382,0.001802,0.001802,0.001802
5,48.6733,1.2348,1.31889,1.13954,0.77114,0.53846,0.61588,0.4028,1.29705,1.69911,1.20765,0.001736,0.001736,0.001736
6,58.8953,1.22525,1.19635,1.15018,0.75125,0.54208,0.61273,0.419,1.31209,1.72648,1.20652,0.00167,0.00167,0.00167
7,69.3737,1.14852,1.1115,1.11848,0.87426,0.62637,0.70968,0.48117,1.18031,1.18838,1.16337,0.001604,0.001604,0.001604
8,80.2504,1.12567,1.04898,1.0899,0.88362,0.7231,0.78283,0.51907,1.20974,0.98376,1.13929,0.001538,0.001538,0.001538
9,90.3503,1.11435,1.00758,1.0978,0.84641,0.72527,0.78513,0.55795,1.12296,1.12868,1.08371,0.001472,0.001472,0.001472
10,101.098,1.08593,0.98359,1.08368,0.77471,0.69963,0.75937,0.54621,1.09587,1.00799,1.09074,0.001406,0.001406,0.001406
11,111.527,1.11345,0.94273,1.08639,0.92677,0.69534,0.79247,0.5482,1.08572,0.9467,1.08915,0.00134,0.00134,0.00134
12,121.686,1.10592,0.92483,1.09801,0.8713,0.71916,0.79386,0.57494,1.06104,0.92159,1.06243,0.001274,0.001274,0.001274
13,131.986,1.03035,0.85276,1.06639,0.88982,0.71429,0.79025,0.55609,1.03907,0.94965,1.04258,0.001208,0.001208,0.001208
14,142.314,1.02066,0.81684,1.03951,0.90447,0.72827,0.81075,0.56103,1.14103,0.86985,1.09451,0.001142,0.001142,0.001142
15,152.524,1.02283,0.82316,1.03965,0.93809,0.72152,0.81785,0.60022,1.00406,0.82388,1.04481,0.001076,0.001076,0.001076
16,162.697,0.97896,0.76411,1.03122,0.93496,0.7326,0.81288,0.60615,1.02049,0.80271,1.04433,0.00101,0.00101,0.00101
17,172.279,0.95929,0.76015,1.03139,0.92767,0.72161,0.81394,0.6026,0.99946,0.85142,1.03028,0.000944,0.000944,0.000944
18,182.161,0.93817,0.72285,1.02383,0.93107,0.69597,0.7922,0.57107,1.10264,0.86477,1.07875,0.000878,0.000878,0.000878
19,192.667,0.93322,0.70827,1.0037,0.90162,0.77216,0.83724,0.63115,0.96657,0.76338,1.01951,0.000812,0.000812,0.000812
20,203.171,0.91126,0.67691,1.00743,0.89453,0.75824,0.82726,0.61545,0.96311,0.74361,1.0115,0.000746,0.000746,0.000746
21,240.581,0.90089,0.67966,1.00271,0.878,0.75824,0.81846,0.62888,0.93947,0.74591,1.01648,0.00068,0.00068,0.00068
22,251.509,0.88684,0.64552,0.98983,0.86069,0.7921,0.82826,0.61546,0.96335,0.77506,1.00806,0.000614,0.000614,0.000614
23,260.239,0.87421,0.62167,0.98655,0.90031,0.77656,0.83573,0.63005,0.94911,0.73273,0.99927,0.000548,0.000548,0.000548
24,268.666,0.84978,0.60294,0.97179,0.90826,0.78388,0.8386,0.62936,0.93199,0.69506,0.99741,0.000482,0.000482,0.000482
25,277.136,0.81888,0.56352,0.96097,0.91584,0.79727,0.8442,0.63257,0.94451,0.69314,0.99442,0.000416,0.000416,0.000416
26,285.66,0.80809,0.55146,0.94575,0.93446,0.78345,0.85065,0.64305,0.93921,0.70689,0.99399,0.00035,0.00035,0.00035
27,295.492,0.80584,0.53427,0.95707,0.93909,0.79067,0.85527,0.64386,0.90969,0.66434,0.98396,0.000284,0.000284,0.000284
28,305.534,0.77298,0.50705,0.94793,0.93547,0.79659,0.85887,0.64606,0.90085,0.6326,0.98317,0.000218,0.000218,0.000218
29,315.43,0.76494,0.49211,0.9447,0.94759,0.7947,0.86148,0.66008,0.87827,0.61793,0.97406,0.000152,0.000152,0.000152
30,325.579,0.75387,0.4972,0.93768,0.91326,0.80989,0.8577,0.66111,0.87945,0.64295,0.97671,8.6e-05,8.6e-05,8.6e-05
